Ranking by Gender & Year,First Name,Frequency,Gender,Year
247,Knox ,19,Boy,2021
247,Oakley ,19,Boy,2021
247,Preston ,19,Boy,2021
247,Ronan ,19,Boy,2021
247,Ronin ,19,Boy,2021
261,Ahmad ,18,Boy,2021
261,Chase ,18,Boy,2021
261,Jeremy ,18,Boy,2021
261,Lawson ,18,Boy,2021
261,Leonardo,18,Boy,2021
261,Odin ,18,Boy,2021
261,Otto ,18,Boy,2021
261,Phoenix ,18,Boy,2021
261,Remi ,18,Boy,2021
261,Tanner ,18,Boy,2021
261,Walter ,18,Boy,2021
261,Wells ,18,Boy,2021
273,Ayaan,17,Boy,2021
273,Banks ,17,Boy,2021
273,Ben,17,Boy,2021
273,Bo ,17,Boy,2021
273,Brayden ,17,Boy,2021
273,Crew ,17,Boy,2021
273,Dallas ,17,Boy,2021
273,Hugo ,17,Boy,2021
273,Huxley ,17,Boy,2021
273,Kane ,17,Boy,2021
273,Sterling ,17,Boy,2021
284,Abraham ,16,Boy,2021
284,Ace ,16,Boy,2021
284,Arjan ,16,Boy,2021
284,Benson ,16,Boy,2021
284,Brady ,16,Boy,2021
284,Bryce ,16,Boy,2021
284,Damien,16,Boy,2021
284,Henrik ,16,Boy,2021
284,Jaden ,16,Boy,2021
284,Kaleb ,16,Boy,2021
284,Malakai ,16,Boy,2021
284,Mark ,16,Boy,2021
284,Maximus ,16,Boy,2021
284,Miller ,16,Boy,2021
284,Mustafa ,16,Boy,2021
284,Nate ,16,Boy,2021
284,Roy ,16,Boy,2021
284,Sean ,16,Boy,2021
284,Soren ,16,Boy,2021
284,Travis ,16,Boy,2021
284,Yahya ,16,Boy,2021
305,Ayden ,15,Boy,2021
305,Caden ,15,Boy,2021
305,Clark ,15,Boy,2021
305,Cody,15,Boy,2021
305,Corbin ,15,Boy,2021
305,Gage ,15,Boy,2021
305,Hassan,15,Boy,2021
305,Jensen ,15,Boy,2021
305,Kyler ,15,Boy,2021
305,Louie,15,Boy,2021
305,Malik ,15,Boy,2021
305,Musa,15,Boy,2021
305,Philip,15,Boy,2021
305,Sam,15,Boy,2021
320,Adriel ,14,Boy,2021
320,Aidan ,14,Boy,2021
320,Anders ,14,Boy,2021
320,Antonio,14,Boy,2021
320,Brixton ,14,Boy,2021
320,Cash ,14,Boy,2021
320,Cayden ,14,Boy,2021
320,Colson ,14,Boy,2021
320,Dante,14,Boy,2021
320,Gideon ,14,Boy,2021
320,Jad,14,Boy,2021
320,Justin ,14,Boy,2021
320,Kaden ,14,Boy,2021
320,Kareem,14,Boy,2021
320,Lane ,14,Boy,2021
320,Martin ,14,Boy,2021
320,Porter ,14,Boy,2021
320,Russell ,14,Boy,2021
320,Spencer ,14,Boy,2021
320,Watson ,14,Boy,2021
320,Zayne ,14,Boy,2021
341,Aryan ,13,Boy,2021
341,Bradley ,13,Boy,2021
341,Callen ,13,Boy,2021
341,Colby ,13,Boy,2021
341,Frederick ,13,Boy,2021
341,Grady ,13,Boy,2021
341,Imran ,13,Boy,2021
341,Kaysen ,13,Boy,2021
341,Magnus ,13,Boy,2021
341,Marco ,13,Boy,2021
341,Milan,13,Boy,2021
341,Paxton ,13,Boy,2021
341,Steven,13,Boy,2021
341,Tyler ,13,Boy,2021
341,Zander ,13,Boy,2021
356,Augustus ,12,Boy,2021
356,Axton ,12,Boy,2021
356,Bruce,12,Boy,2021
356,Cyrus ,12,Boy,2021
356,Deacon ,12,Boy,2021
356,Giovanni ,12,Boy,2021
356,Jakob ,12,Boy,2021
356,Jared ,12,Boy,2021
